,item_id,Wrong_S,Right_S,category,Wrong_W,Right_W,loc,difficulty,reason
335,336,"""그의 연설이 청중의 관심을 돋구었다."""," ""그의 연설이 청중의 관심을 돋우었다.""",0," ""돋구었다"""," ""돋우었다"""," ""그의 연설이 청중의 관심을 [돋우었다].""",1," ‘돋구다’는 안경의 도수 따위를 더 높게 하다라는 뜻이고, ‘돋우다’는 위로 끌어 올려 도드라지거나 높아지게 하다는 뜻이다."
336,337,"""소금을 조금 더 추가하면 맛을 확실히 돋굴 수 있어."""," ""소금을 조금 더 추가하면 맛을 확실히 돋울 수 있어.""",0," ""돋굴"""," ""돋울"""," ""소금을 조금 더 추가하면 맛을 확실히 [돋울] 수 있어.""",3," ‘돋구다’는 안경의 도수 따위를 더 높게 하다라는 뜻이고, ‘돋우다’는 위로 끌어 올려 도드라지거나 높아지게 하다는 뜻이다."
337,338,"""맛있는 음식을 보면 항상 입맛이 돋궈."""," ""맛있는 음식을 보면 항상 입맛이 돋워.""",0," ""돋궈"""," ""돋워"""," ""맛있는 음식을 보면 항상 입맛이 [돋워].""",3," ‘돋구다’는 안경의 도수 따위를 더 높게 하다라는 뜻이고, ‘돋우다’는 위로 끌어 올려 도드라지거나 높아지게 하다는 뜻이다."
338,339,"""명랑한 음악이 청중의 기운을 돋구어 주었다."""," ""명랑한 음악이 청중의 기운을 돋워 주었다.""",0," ""돋구어"""," ""돋워"""," ""명랑한 음악이 청중의 기운을 [돋워] 주었다.""",3," ‘돋구다’는 안경의 도수 따위를 더 높게 하다라는 뜻이고, ‘돋우다’는 위로 끌어 올려 도드라지거나 높아지게 하다는 뜻이다."
339,340,"""그의 재미있는 이야기는 분위기를 돋궜다."""," ""그의 재미있는 이야기는 분위기를 돋웠다.""",0," ""돋궜다"""," ""돋웠다"""," ""그의 재미있는 이야기는 분위기를 [돋웠다].""",3," ‘돋구다’는 안경의 도수 따위를 더 높게 하다라는 뜻이고, ‘돋우다’는 위로 끌어 올려 도드라지거나 높아지게 하다는 뜻이다."
340,341,"""돐 잔치를 준비하는 가족들."""," ""돌 잔치를 준비하는 가족들.""",0," ""돐"""," ""돌"""," ""[돌] 잔치를 준비하는 가족들.""",1," '돌'은 생일을 뜻하는 말로 첫돌, 두 돌 등과 같이 사용한다."
341,342,"""아기의 첫 돐을 축하했습니다."""," ""아기의 첫 돌을 축하했습니다.""",0," ""돐"""," ""돌"""," ""아기의 첫 [돌]을 축하했습니다.""",1," '돌'은 생일을 뜻하는 말로 첫돌, 두 돌 등과 같이 사용한다."
342,343,"""돐을 맞이한 아이를 위해 특별한 케이크를 만들었다."""," ""돌을 맞이한 아이를 위해 특별한 케이크를 만들었다.""",0," ""돐"""," ""돌"""," ""[돌]을 맞이한 아이를 위해 특별한 케이크를 만들었다.""",1," '돌'은 생일을 뜻하는 말로 첫돌, 두 돌 등과 같이 사용한다."
343,344,"""아이들은 길가에서 돌맹이를 찾았다."""," ""아이들은 길가에서 돌멩이를 찾았다.""",0," ""돌맹이"""," ""돌멩이"""," ""아이들은 길가에서 [돌멩이]를 찾았다.""",2, '돌멩이'는 ‘돌’과 접미사 ‘-애이’가 결합한 말이다.
344,345,"""이 동네에는 자갈보다 돌맹이가 많다."""," ""이 동네에는 자갈보다 돌멩이가 많다.""",0," ""돌맹이"""," ""돌멩이"""," ""이 동네에는 자갈보다 [돌멩이]가 많다.""",2, '돌멩이'는 ‘돌’과 접미사 ‘-애이’가 결합한 말이다.
345,346,"""해변에서 모래 위에 돌맹이를 쌓으며 놀았다."""," ""해변에서 모래 위에 돌멩이를 쌓으며 놀았다.""",0," ""돌맹이"""," ""돌멩이"""," ""해변에서 모래 위에 [돌멩이]를 쌓으며 놀았다.""",2, '돌멩이'는 ‘돌’과 접미사 ‘-애이’가 결합한 말이다.
346,347,"""어릴 때 친구들과 돌맹이로 놀았어."""," ""어릴 때 친구들과 돌멩이로 놀았어.""",0," ""돌맹이"""," ""돌멩이"""," ""어릴 때 친구들과 [돌멩이]로 놀았어.""",2, '돌멩이'는 ‘돌’과 접미사 ‘-애이’가 결합한 말이다.
347,348,"""놀이터에서 주운 돌맹이가 꽤 예뻤어."""," ""놀이터에서 주운 돌멩이가 꽤 예뻤어.""",0," ""돌맹이"""," ""돌멩이"""," ""놀이터에서 주운 [돌멩이]가 꽤 예뻤어.""",2, '돌멩이'는 ‘돌’과 접미사 ‘-애이’가 결합한 말이다.
348,349,"""길에 돌맹이가 굴러다니고 있었다."""," ""길에 돌멩이가 굴러다니고 있었다.""",0," ""돌맹이"""," ""돌멩이"""," ""길에 [돌멩이]가 굴러다니고 있었다.""",2, '돌멩이'는 ‘돌’과 접미사 ‘-애이’가 결합한 말이다.
349,350,"""어린 시절엔 돌맹이 던지기 놀이가 인기였다."""," ""어린 시절엔 돌멩이 던지기 놀이가 인기였다.""",0," ""돌맹이"""," ""돌멩이"""," ""어린 시절엔 [돌멩이] 던지기 놀이가 인기였다.""",2, '돌멩이'는 ‘돌’과 접미사 ‘-애이’가 결합한 말이다.
350,351,"""눈에 띄는 큰 돌맹이가 있었다."""," ""눈에 띄는 큰 돌멩이가 있었다.""",0," ""돌맹이"""," ""돌멩이"""," ""눈에 띄는 큰 [돌멩이]가 있었다.""",2, '돌멩이'는 ‘돌’과 접미사 ‘-애이’가 결합한 말이다.
351,352,"""그래도 돼?"""," ""그래도 돼?""",0," ""되"""," ""돼"""," ""그래도 [돼]?""",2,"되 - : 다른 것으로 바뀌거나 변할 때, 어떤 일이 이루어졌을 때와 같은 경우에 쓰는 말입니다. 돼 - : '되어'를 줄인 말입니다."
352,353,"""친구 집에 가도 돼?"""," ""친구 집에 가도 돼?""",0," ""되"""," ""돼"""," ""친구 집에 가도 [돼]?""",2,"되 - : 다른 것으로 바뀌거나 변할 때, 어떤 일이 이루어졌을 때와 같은 경우에 쓰는 말입니다. 돼 - : '되어'를 줄인 말입니다."
353,354,"""그러면 안 되."""," ""그러면 안 돼.""",0," ""되"""," ""돼"""," ""그러면 안 [돼].""",2,"되 - : 다른 것으로 바뀌거나 변할 때, 어떤 일이 이루어졌을 때와 같은 경우에 쓰는 말입니다. 돼 - : '되어'를 줄인 말입니다."
354,355,"""계속 이래도 되?"""," ""계속 이래도 돼?""",0," ""되"""," ""돼"""," ""계속 이래도 [돼]?""",2,"되 - : 다른 것으로 바뀌거나 변할 때, 어떤 일이 이루어졌을 때와 같은 경우에 쓰는 말입니다. 돼 - : '되어'를 줄인 말입니다."
355,356,"""지금 나가도 되?"""," ""지금 나가도 돼?""",0," ""되"""," ""돼"""," ""지금 나가도 [돼]?""",2,"되 - : 다른 것으로 바뀌거나 변할 때, 어떤 일이 이루어졌을 때와 같은 경우에 쓰는 말입니다. 돼 - : '되어'를 줄인 말입니다."
356,357,"""이렇게 해도 되?"""," ""이렇게 해도 돼?""",0," ""되"""," ""돼"""," ""이렇게 해도 [돼]?""",2,"되 - : 다른 것으로 바뀌거나 변할 때, 어떤 일이 이루어졌을 때와 같은 경우에 쓰는 말입니다. 돼 - : '되어'를 줄인 말입니다."
357,358,"""이렇게 합의해도 되?"""," ""이렇게 합의해도 돼?""",0," ""되"""," ""돼"""," ""이렇게 합의해도 [돼]?""",2,"되 - : 다른 것으로 바뀌거나 변할 때, 어떤 일이 이루어졌을 때와 같은 경우에 쓰는 말입니다. 돼 - : '되어'를 줄인 말입니다."
358,359,"""이 방법으로 문을 닫으면 되."""," ""이 방법으로 문을 닫으면 돼.""",0," ""되"""," ""돼"""," ""이 방법으로 문을 닫으면 [돼].""",2,"되 - : 다른 것으로 바뀌거나 변할 때, 어떤 일이 이루어졌을 때와 같은 경우에 쓰는 말입니다. 돼 - : '되어'를 줄인 말입니다."
359,360,"""그러면 안 되."""," ""그러면 안 돼.""",0," ""되"""," ""돼"""," ""그러면 안 [돼].""",2,"되 - : 다른 것으로 바뀌거나 변할 때, 어떤 일이 이루어졌을 때와 같은 경우에 쓰는 말입니다. 돼 - : '되어'를 줄인 말입니다."
360,361,"""고양이를 키워도 되?"""," ""고양이를 키워도 돼?""",0," ""되"""," ""돼"""," ""고양이를 키워도 [돼]?""",2,"되 - : 다른 것으로 바뀌거나 변할 때, 어떤 일이 이루어졌을 때와 같은 경우에 쓰는 말입니다. 돼 - : '되어'를 줄인 말입니다."
361,362,"""내일 시험 준비는 되요?"""," ""내일 시험 준비는 돼요?""",0," ""되요"""," ""돼요"""," ""내일 시험 준비는 [돼요]?""",2," '되'는 '되다'의 어간이고, '돼'는 '되어'의 준말입니다. 따라서 '-어'로 바꿀 수 있으면 '돼'로 적고, 그렇지 않으면 '되'로 적습니다."
362,363,"""그렇게 하면 되요?"""," ""그렇게 하면 돼요?""",0," ""되요"""," ""돼요"""," ""그렇게 하면 [돼요]?""",2," '되'는 '되다'의 어간이고, '돼'는 '되어'의 준말입니다. 따라서 '-어'로 바꿀 수 있으면 '돼'로 적고, 그렇지 않으면 '되'로 적습니다."
363,364,"""그렇게 하면 일이 더 빨리 되요."""," ""그렇게 하면 일이 더 빨리 돼요.""",0," ""되요"""," ""돼요"""," ""그렇게 하면 일이 더 빨리 [돼요].""",2," '되'는 '되다'의 어간이고, '돼'는 '되어'의 준말입니다. 따라서 '-어'로 바꿀 수 있으면 '돼'로 적고, 그렇지 않으면 '되'로 적습니다."
364,365,"""이 프로그램은 잘 되요."""," ""이 프로그램은 잘 돼요.""",0," ""되요"""," ""돼요"""," ""이 프로그램은 잘 [돼요].""",2," '되'는 '되다'의 어간이고, '돼'는 '되어'의 준말입니다. 따라서 '-어'로 바꿀 수 있으면 '돼'로 적고, 그렇지 않으면 '되'로 적습니다."
365,366,"""모든 준비가 되요?"""," ""모든 준비가 돼요?""",0," ""되요"""," ""돼요"""," ""모든 준비가 [돼요]?""",2," '되'는 '되다'의 어간이고, '돼'는 '되어'의 준말입니다. 따라서 '-어'로 바꿀 수 있으면 '돼'로 적고, 그렇지 않으면 '되'로 적습니다."
366,367,"""날씨가 풀리면 그게 되요."""," ""날씨가 풀리면 그게 돼요.""",0," ""되요"""," ""돼요"""," ""날씨가 풀리면 그게 [돼요].""",2," '되'는 '되다'의 어간이고, '돼'는 '되어'의 준말입니다. 따라서 '-어'로 바꿀 수 있으면 '돼'로 적고, 그렇지 않으면 '되'로 적습니다."
367,368,"""언젠가 너도 알게 되요."""," ""언젠가 너도 알게 돼요.""",0," ""되요"""," ""돼요"""," ""언젠가 너도 알게 [돼요].""",2," '되'는 '되다'의 어간이고, '돼'는 '되어'의 준말입니다. 따라서 '-어'로 바꿀 수 있으면 '돼'로 적고, 그렇지 않으면 '되'로 적습니다."
368,369,"""그 일을 이미 다 했다고? 그러면 됬어."""," ""그 일을 이미 다 했다고? 그러면 됐어.""",0," ""됬어"""," ""됐어"""," ""그 일을 이미 다 했다고? 그러면 [됐어].""",2, '됐어'는 '되다'의 어간 '되-'에 어미 '-어'가 결합한 형태이다. 이 때 '되어'로 늘여 쓸 수 있으므로 '됐어'와 같이 줄여 쓰는 것이 가능하다. 그러나 '됬어'는 틀린 표기이다. (관련 규정: '한글 맞춤법' 제35항)
369,370,"""준비가 다 됬어!"""," ""준비가 다 됐어!""",0," ""됬어"""," ""됐어"""," ""준비가 다 [됐어]!""",2, '됐어'는 '되다'의 어간 '되-'에 어미 '-어'가 결합한 형태이다. 이 때 '되어'로 늘여 쓸 수 있으므로 '됐어'와 같이 줄여 쓰는 것이 가능하다. 그러나 '됬어'는 틀린 표기이다. (관련 규정: '한글 맞춤법' 제35항)
370,371,"""빚에 대한 대갚음이 필요하다."""," ""빚에 대한 되갚음이 필요하다.""",1," ""대갚음"""," ""되갚음"""," ""빚에 대한 [되갚음]이 필요하다.""",3, 대갚음은 남에게 입은 은혜나 남에게 당한 원한을 잊지 않고 그대로 갚는다는 뜻입니다. 되갚음은 남이 나에게 해를 준 만큼 나도 그에게 해를 준다는 뜻입니다.
371,372,"""이렇게 해서 돼겠어?"""," ""이렇게 해서 되겠어?""",0," ""돼겠어"""," ""되겠어"""," ""이렇게 해서 [되겠어]?""",2," '되다'의 어간은 '되-'입니다. 여기에 어미 '-어'가 붙으면 '되어'가 됩니다. 이것을 줄여서 쓰면 '돼'가 됩니다. 따라서 '되겠어'는 맞는 말이고, '돼겠어'는 틀린 말입니다."
372,373,"""그렇게 해도 돼겠어?"""," ""그렇게 해도 되겠어?""",0," ""돼겠어"""," ""되겠어"""," ""그렇게 해도 [되겠어]?""",2," '되다'의 어간은 '되-'입니다. 여기에 어미 '-어'가 붙으면 '되어'가 됩니다. 이것을 줄여서 쓰면 '돼'가 됩니다. 따라서 '되겠어'는 맞는 말이고, '돼겠어'는 틀린 말입니다."
373,374,"""우리 집에 와도 돼겠어?"""," ""우리 집에 와도 되겠어?""",0," ""돼겠어"""," ""되겠어"""," ""우리 집에 와도 [되겠어]?""",2," '되다'의 어간은 '되-'입니다. 여기에 어미 '-어'가 붙으면 '되어'가 됩니다. 이것을 줄여서 쓰면 '돼'가 됩니다. 따라서 '되겠어'는 맞는 말이고, '돼겠어'는 틀린 말입니다."
374,375,"""그래도 돼나요?"""," ""그래도 되나요?""",0," ""돼나요"""," ""되나요"""," ""그래도 [되나요]?""",2, '돼'는 '되어'의 준말이므로 '되나요?'가 맞는 표현이다.
375,376,"""숙제가 이렇게 쉬워도 되나요?"""," ""숙제가 이렇게 쉬워도 되나요?""",0," ""돼나요?"""," ""되나요?"""," ""숙제가 이렇게 쉬워도 [되나요]?""",2, '돼'는 '되어'의 준말이므로 '되나요?'가 맞는 표현이다.
376,377,"""그는 되려 화를 냈다."""," ""그는 되레 화를 냈다.""",0," ""되려"""," ""되레"""," ""그는 [되레] 화를 냈다.""",2, 되려(X) 되레(O) '도리어'의 준말은 '되레'입니다.
377,378,"""되려 더 나쁜 상황이 되었다."""," ""되레 더 나쁜 상황이 되었다.""",0," ""되려"""," ""되레"""," ""[되레] 더 나쁜 상황이 되었다.""",2, 되려(X) 되레(O) '도리어'의 준말은 '되레'입니다.
378,379,"""그 말을 듣고 되려 슬퍼졌다."""," ""그 말을 듣고 되레 슬퍼졌다.""",0," ""되려"""," ""되레"""," ""그 말을 듣고 [되레] 슬퍼졌다.""",2, 되려(X) 되레(O) '도리어'의 준말은 '되레'입니다.
379,380,"""그는 되먹지 못한 행동을 했다."""," ""그는 돼먹지 못한 행동을 했다.""",0," ""되먹지 못한"""," ""돼먹지 못한"""," ""그는 [돼먹지 못한] 행동을 했다.""",3, 돼는 되어의 준말입니다. 따라서 '되어 먹지 못한'이 맞는 표현입니다.
380,381,"""그 친구는 되먹지 못한 성격을 가졌다."""," ""그 친구는 돼먹지 못한 성격을 가졌다.""",0," ""되먹지 못한"""," ""돼먹지 못한"""," ""그 친구는 [돼먹지 못한] 성격을 가졌다.""",3, 돼는 되어의 준말입니다. 따라서 '되어 먹지 못한'이 맞는 표현입니다.
381,382,"""그는 항상 되먹지 못한 말을 꺼낸다."""," ""그는 항상 돼먹지 못한 말을 꺼낸다.""",0," ""되먹지 못한"""," ""돼먹지 못한"""," ""그는 항상 [돼먹지 못한] 말을 꺼낸다.""",3, 돼는 되어의 준말입니다. 따라서 '되어 먹지 못한'이 맞는 표현입니다.
382,383,"""된장찌게 맛있게 끓였어."""," ""된장찌개 맛있게 끓였어.""",0," ""된장찌게"""," ""된장찌개"""," ""[된장찌개] 맛있게 끓였어.""",2, '된장찌개'가 맞는 표기이다. 
383,384,"""엄마가 된장찌게를 준비했어."""," ""엄마가 된장찌개를 준비했어.""",0," ""된장찌게"""," ""된장찌개"""," ""엄마가 [된장찌개]를 준비했어.""",2, '된장찌개'가 맞는 표기이다. 
384,385,"""오늘 저녁 메뉴는 된장찌게야."""," ""오늘 저녁 메뉴는 된장찌개야.""",0," ""된장찌게"""," ""된장찌개"""," ""오늘 저녁 메뉴는 [된장찌개]야.""",2, '된장찌개'가 맞는 표기이다. 
385,386,"""이 가게는 된장찌게가 유명해."""," ""이 가게는 된장찌개가 유명해.""",0," ""된장찌게"""," ""된장찌개"""," ""이 가게는 [된장찌개]가 유명해.""",2, '된장찌개'가 맞는 표기이다. 
386,387,"""저녁으로 된장찌게를 먹자."""," ""저녁으로 된장찌개를 먹자.""",0," ""된장찌게"""," ""된장찌개"""," ""저녁으로 [된장찌개]를 먹자.""",2, '된장찌개'가 맞는 표기이다. 
387,388,"""된장찌게는 한국 전통 음식이다."""," ""된장찌개는 한국 전통 음식이다.""",0," ""된장찌게"""," ""된장찌개"""," ""[된장찌개]는 한국 전통 음식이다.""",2, '된장찌개'가 맞는 표기이다. 
388,389,"""나는 매콤한 된장찌게를 좋아해."""," ""나는 매콤한 된장찌개를 좋아해.""",0," ""된장찌게"""," ""된장찌개"""," ""나는 매콤한 [된장찌개]를 좋아해.""",2, '된장찌개'가 맞는 표기이다. 
389,390,"""된장찌게 만들 때 두부를 많이 넣어."""," ""된장찌개 만들 때 두부를 많이 넣어.""",0," ""된장찌게"""," ""된장찌개"""," ""[된장찌개] 만들 때 두부를 많이 넣어.""",2, '된장찌개'가 맞는 표기이다. 
390,391,"""어쩔 수 없이 그렇게 될 수 밖에 없었어."""," ""어쩔 수 없이 그렇게 될 수밖에 없었어.""",2," ""될 수 밖에"""," ""될 수밖에"""," ""어쩔 수 없이 그렇게 [될 수밖에] 없었어.""",3," 수'는 의존명사, '밖에'는 조사이므로 '수밖에'로 붙여 쓰는 것이 맞습니다."
391,392,"""어제는 2시간 공부를 하고 오늘은 6시간 공부를 통해 어제보다 두 곱절 더 공부했다.""","""어제는 2시간 공부를 하고 오늘은 6시간 공부를 통해 어제보다 두 갑절 더 공부했다.""",1," ""두 곱절"""," ""두 갑절"""," ""어제는 2시간 공부를 하고 오늘은 6시간 공부를 통해 어제보다 [두 갑절] 더 공부했다.""",3,두 곱절은 어떤 수나 양을 두 번 곱한 것이고 두 갑절은 원래 양에 두 배만큼 더해진 것을 뜻한다.
392,393,"""나는 피자를 1조각 먹고 친구는 피자를 3조각 먹어 나보다 두 곱절 더 먹었다.""","""나는 피자를 1조각 먹고 친구는 피자를 3조각 먹어 나보다 두 갑절 더 먹었다."" ",1," ""두 곱절"""," ""두 갑절"""," ""이번 해 수익은 작년의 [두 갑절]이다.""",3,두 곱절은 어떤 수나 양을 두 번 곱한 것이고 두 갑절은 원래 양에 두 배만큼 더해진 것을 뜻한다.
393,394,"""일 처리 후에는 반드시 뒷처리를 잘 해야 한다."""," ""일 처리 후에는 반드시 뒤처리를 잘 해야 한다.""",0," ""뒷처리"""," ""뒤처리"""," ""일 처리 후에는 반드시 [뒤처리]를 잘 해야 한다.""",4, ‘뒤’는 명사로 쓰일 때에는 합성어를 만드는 접두사로만 쓰인다. 따라서 단독으로 쓰이지 않는다.
394,395,"""기술 발전 속도가 너무 빨라 사람들이 뒤쳐지지 않도록 해야 한다."""," ""기술 발전 속도가 너무 빨라 사람들이 뒤처지지 않도록 해야 한다.""",0," ""뒤쳐지지"""," ""뒤처지지"""," ""기술 발전 속도가 너무 빨라 사람들이 [뒤처지지] 않도록 해야 한다.""",4," '뒤처지다'는 어떤 수준이나 대열에 들지 못하고 뒤로 처지거나 남게 되다라는 뜻이고, '뒤쳐지다'는 물건이 뒤집혀서 젖혀지다 또는 계획이나 일 따위가 순조롭지 못하고 이상하게 진행되다라는 뜻이다."
395,396,"""이런 방식으로 하면 경쟁에서 뒤쳐질 수 있어."""," ""이런 방식으로 하면 경쟁에서 뒤처질 수 있어.""",0," ""뒤쳐질"""," ""뒤처질"""," ""이런 방식으로 하면 경쟁에서 [뒤처질] 수 있어.""",4," '뒤처지다'는 어떤 수준이나 대열에 들지 못하고 뒤로 처지거나 남게 되다라는 뜻이고, '뒤쳐지다'는 물건이 뒤집혀서 젖혀지다 또는 계획이나 일 따위가 순조롭지 못하고 이상하게 진행되다라는 뜻이다."
396,397,"""그는 주방의 뒤치다꺼리를 맡고 있다."""," ""그는 주방의 뒤치닥거리를 맡고 있다.""",0," ""뒤치다꺼리"""," ""뒤치닥거리"""," ""그는 주방의 [뒤치닥거리]를 맡고 있다.""",3, '뒤치다꺼리'는 일이 끝난 뒤에 뒤끝을 정리하는 일이라는 뜻이다.
397,398,"""아이들의 장난감 뒤치다꺼리는 엄마의 몫이다."""," ""아이들의 장난감 뒤치닥거리는 엄마의 몫이다.""",0," ""뒤치다꺼리"""," ""뒤치닥거리"""," ""아이들의 장난감 [뒤치닥거리]는 엄마의 몫이다.""",3, '뒤치다꺼리'는 일이 끝난 뒤에 뒤끝을 정리하는 일이라는 뜻이다.
398,399,"""뒷정리와 뒤치다꺼리를 끝내고 나서야 쉴 수 있었다."""," ""뒷정리와 뒤치닥거리를 끝내고 나서야 쉴 수 있었다.""",0," ""뒤치다꺼리"""," ""뒤치닥거리"""," ""뒷정리와 [뒤치닥거리]를 끝내고 나서야 쉴 수 있었다.""",3, '뒤치다꺼리'는 일이 끝난 뒤에 뒤끝을 정리하는 일이라는 뜻이다.
399,400,"""이 프로젝트의 뒤치다꺼리를 담당하고 있어."""," ""이 프로젝트의 뒤치닥거리를 담당하고 있어.""",0," ""뒤치다꺼리"""," ""뒤치닥거리"""," ""이 프로젝트의 [뒤치닥거리]를 담당하고 있어.""",3, '뒤치다꺼리'는 일이 끝난 뒤에 뒤끝을 정리하는 일이라는 뜻이다.
400,401,"""항상 뒤치다꺼리만 해서 힘들다."""," ""항상 뒤치닥거리만 해서 힘들다.""",0," ""뒤치다꺼리"""," ""뒤치닥거리"""," ""항상 [뒤치닥거리]만 해서 힘들다.""",3, '뒤치다꺼리'는 일이 끝난 뒤에 뒤끝을 정리하는 일이라는 뜻이다.
401,402,"""그 사람의 잘못을 뒤치다꺼리 하느라 정신이 없다."""," ""그 사람의 잘못을 뒤치닥거리 하느라 정신이 없다.""",0," ""뒤치다꺼리"""," ""뒤치닥거리"""," ""그 사람의 잘못을 [뒤치닥거리] 하느라 정신이 없다.""",3, '뒤치다꺼리'는 일이 끝난 뒤에 뒤끝을 정리하는 일이라는 뜻이다.
402,403,"""고양이 뒤치다꺼리를 끝내고 잠깐 쉬었다."""," ""고양이 뒤치닥거리를 끝내고 잠깐 쉬었다.""",0," ""뒤치다꺼리"""," ""뒤치닥거리"""," ""고양이 [뒤치닥거리]를 끝내고 잠깐 쉬었다.""",3, '뒤치다꺼리'는 일이 끝난 뒤에 뒤끝을 정리하는 일이라는 뜻이다.
403,404,"""숨겨왔던 사실이 천천히 들어나기 시작했다."""," ""숨겨왔던 사실이 천천히 드러나기 시작했다.""",0," ""들어나기"""," ""드러나기"""," ""숨겨왔던 사실이 천천히 [드러나기] 시작했다.""",4, '드러나다'는 가려 있거나 보이지 않던 것이 보이게 되다라는 뜻이다.
404,405,"""그의 실력이 크게 드러나다."""," ""그의 실력이 크게 들어나다.""",0," ""들어났다"""," ""드러났다"""," ""그의 실력이 크게 [드러났다].""",4, '드러나다'는 가려 있거나 보이지 않던 것이 보이게 되다라는 뜻이다.
405,406,"""김 씨의 본모습이 결국 들어났다."""," ""김 씨의 본모습이 결국 드러났다.""",0," ""들어났다"""," ""드러났다"""," ""김 씨의 본모습이 결국 [드러났다].""",4, '드러나다'는 가려 있거나 보이지 않던 것이 보이게 되다라는 뜻이다.
406,407,"""이 사건으로 그의 진짜 모습이 들어났다."""," ""이 사건으로 그의 진짜 모습이 드러났다.""",0," ""들어났다"""," ""드러났다"""," ""이 사건으로 그의 진짜 모습이 [드러났다].""",4, '드러나다'는 가려 있거나 보이지 않던 것이 보이게 되다라는 뜻이다.
407,408,"""그의 실력이 결국 들어났다."""," ""그의 실력이 결국 드러났다.""",0," ""들어났다"""," ""드러났다"""," ""그의 실력이 결국 [드러났다].""",4, '드러나다'는 가려 있거나 보이지 않던 것이 보이게 되다라는 뜻이다.
408,409,"""그림자의 정체가 점점 들어났다."""," ""그림자의 정체가 점점 드러났다.""",0," ""들어났다"""," ""드러났다"""," ""그림자의 정체가 점점 [드러났다].""",4, '드러나다'는 가려 있거나 보이지 않던 것이 보이게 되다라는 뜻이다.
409,410,"""비밀이 모두 들어났어."""," ""비밀이 모두 드러났어.""",0," ""들어났어"""," ""드러났어"""," ""비밀이 모두 [드러났어].""",4, '드러나다'는 가려 있거나 보이지 않던 것이 보이게 되다라는 뜻이다.
410,411,"""언제든지 전화해도 괜찮아."""," ""언제 던지 전화해도 괜찮아.""",0," ""던지"""," ""든지"""," ""언제[든지] 전화해도 괜찮아.""",2, ‘-던지’는 막연한 의문이 있는 채로 그것을 뒤 절의 사실이나 판단과 관련시키는 데 쓰는 연결 어미입니다.
411,412,"""우리 회사에서 임원으로서의 책임을 다하려고 노력 중이야."""," ""우리 회사에서 임원으로서의 책임을 다하려고 노력 중이야.""",1," ""로써"""," ""로서"""," ""우리 회사에서 임원으[로서]의 책임을 다하려고 노력 중이야.""",4," '로서'는 지위나 신분 또는 자격을 나타내는 격 조사입니다. 이에 비해 '로써'는 어떤 물건의 재료나 원료, 수단이나 도구를 나타내는 격 조사입니다. 따라서 위 예문에서는 '교사로서'가 맞습니다."
412,413,"""저는 대리로써 여러분을 대신해 이 자리에 왔습니다."""," ""저는 대리로서 여러분을 대신해 이 자리에 왔습니다.""",1," ""로써"""," ""로서"""," ""저는 대리[로서] 여러분을 대신해 이 자리에 왔습니다.""",4," '로서'는 지위나 신분 또는 자격을 나타내는 격 조사입니다. 이에 비해 '로써'는 어떤 물건의 재료나 원료, 수단이나 도구를 나타내는 격 조사입니다. 따라서 위 예문에서는 '교사로서'가 맞습니다."
413,414,"""그는 결혼해서 남편으로써의 책임을 다하고 있다."""," ""그는 결혼해서 남편으로서의 책임을 다하고 있다.""",1," ""로써"""," ""로서"""," ""그는 결혼해서 남편으[로서]의 책임을 다하고 있다.""",4," '로서'는 지위나 신분 또는 자격을 나타내는 격 조사입니다. 이에 비해 '로써'는 어떤 물건의 재료나 원료, 수단이나 도구를 나타내는 격 조사입니다. 따라서 위 예문에서는 '교사로서'가 맞습니다."
414,415,"""의사로써 환자를 살리는데 책임을 다한다.""","""의사로서 환자를 살리는데 책임을 다한다.""",1," ""로써"""," ""로서""","""의사[로서] 환자를 살리는데 책임을 다한다.""",4," '로서'는 지위나 신분 또는 자격을 나타내는 격 조사입니다. 이에 비해 '로써'는 어떤 물건의 재료나 원료, 수단이나 도구를 나타내는 격 조사입니다. 따라서 위 예문에서는 '의사로서'가 맞습니다."
415,416,"""선생님으로써의 책임이 막중하다."""," ""선생님으로서의 책임이 막중하다.""",1," ""로써"""," ""로서"""," ""선생님으[로서]의 책임이 막중하다.""",4," '로서'는 지위나 신분 또는 자격을 나타내는 격 조사입니다. 이에 비해 '로써'는 어떤 물건의 재료나 원료, 수단이나 도구를 나타내는 격 조사입니다. 따라서 위 예문에서는 '선생님으로서'가 맞습니다."
416,417,"""상급자의 말로서 신뢰할 수 있다.""","""상급자의 말로써 신뢰할 수 있다.""",1," ""로서"""," ""로써""","""상급자의 말[로써] 신뢰할 수 있다.""",4," '로서'는 지위나 신분 또는 자격을 나타내는 격 조사입니다. 이에 비해 '로써'는 어떤 물건의 재료나 원료, 수단이나 도구를 나타내는 격 조사입니다. 따라서 위 예문에서는 '말로써'가 맞습니다."
417,418,"""오늘 일정을 마친후 저녁식사를 하겠습니다."""," ""오늘 일정을 마친 후 저녁 식사를 하겠습니다.""",2," ""마친후"""," ""마친 후"""," ""오늘 일정을 [마친 후] 저녁 식사를 하겠습니다.""",3, 한글맞춤법 제2항에서는 문장의 각 단어는 띄어 씀을 원칙으로 한다고 규정하고 있으며 '후'는 명사로서 독립된 하나의 단어이므로 앞말과 띄어 써야 합니다.
